sample_index,speaker_id,utterance_id,text,inference_time_sec,output_file
0,"('p275',)","('p275_038',)","('Two other men, including the taxi driver, were wounded in the attack.',)",12.54878282546997,"results/generated_speech/('p275',)_('p275_038',).wav"
1,"('p275',)","('p275_016',)","('The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky.',)",17.87805724143982,"results/generated_speech/('p275',)_('p275_016',).wav"
2,"('p275',)","('p275_359',)","('This is a club on the rise.',)",4.1880269050598145,"results/generated_speech/('p275',)_('p275_359',).wav"
3,"('p275',)","('p275_387',)","('They are good.',)",1.5914795398712158,"results/generated_speech/('p275',)_('p275_387',).wav"
4,"('p275',)","('p275_421',)","('I know the worry over Iraq.',)",4.477994680404663,"results/generated_speech/('p275',)_('p275_421',).wav"
5,"('p275',)","('p275_177',)","('As we worked.',)",1.7487246990203857,"results/generated_speech/('p275',)_('p275_177',).wav"
6,"('p275',)","('p275_033',)","('We must provide a long-term solution to tackle this attitude.',)",9.696118116378784,"results/generated_speech/('p275',)_('p275_033',).wav"
7,"('p275',)","('p275_389',)","('But we are a young side.',)",3.2978975772857666,"results/generated_speech/('p275',)_('p275_389',).wav"
8,"('p275',)","('p275_009',)","('There is , according to the legend, a boiling pot of gold at one end.',)",10.349626302719116,"results/generated_speech/('p275',)_('p275_009',).wav"
9,"('p275',)","('p275_296',)","('She is really magic.',)",3.1340017318725586,"results/generated_speech/('p275',)_('p275_296',).wav"
10,"('p275',)","('p275_116',)","(""It's not fair."",)",2.019277572631836,"results/generated_speech/('p275',)_('p275_116',).wav"
11,"('p275',)","('p275_355',)","('To do so he reckons that a good opening result is essential.',)",10.300381898880005,"results/generated_speech/('p275',)_('p275_355',).wav"
12,"('p275',)","('p275_264',)","(""Perhaps it's because I haven't finished the first two races."",)",9.247503519058228,"results/generated_speech/('p275',)_('p275_264',).wav"
13,"('p275',)","('p275_408',)","('Domestic Disturbance is currently on general release.',)",9.505890130996704,"results/generated_speech/('p275',)_('p275_408',).wav"
14,"('p275',)","('p275_121',)","('There will be a beginning, a middle, and an end.',)",6.237952470779419,"results/generated_speech/('p275',)_('p275_121',).wav"
15,"('p275',)","('p275_239',)","('In fact, it is deeply unpleasant.',)",5.914897441864014,"results/generated_speech/('p275',)_('p275_239',).wav"
16,"('p275',)","('p275_068',)","('Strathclyde police had appealed for witnesses.',)",6.769318580627441,"results/generated_speech/('p275',)_('p275_068',).wav"
17,"('p275',)","('p275_064',)","('Charles Kennedy had an effective outing.',)",6.218336343765259,"results/generated_speech/('p275',)_('p275_064',).wav"
18,"('p275',)","('p275_263',)","('That review will look at the management across the sector as a whole.',)",9.663930892944336,"results/generated_speech/('p275',)_('p275_263',).wav"
19,"('p275',)","('p275_082',)","('Florida is the pivotal state in the nation.',)",6.472275733947754,"results/generated_speech/('p275',)_('p275_082',).wav"
20,"('p275',)","('p275_308',)","('You should be.',)",0.9672942161560059,"results/generated_speech/('p275',)_('p275_308',).wav"
21,"('p275',)","('p275_031',)","(""There's a story, too."",)",2.593883752822876,"results/generated_speech/('p275',)_('p275_031',).wav"
22,"('p275',)","('p275_135',)","('What will happen then?',)",2.8428854942321777,"results/generated_speech/('p275',)_('p275_135',).wav"
23,"('p275',)","('p275_140',)","('We are currently consulting with a wide range of interested parties.',)",9.182005405426025,"results/generated_speech/('p275',)_('p275_140',).wav"
24,"('p275',)","('p275_371',)","(""He's delighted, too, with the new premises."",)",5.954378366470337,"results/generated_speech/('p275',)_('p275_371',).wav"
25,"('p275',)","('p275_023',)","('If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow.',)",30.910760641098022,"results/generated_speech/('p275',)_('p275_023',).wav"
26,"('p275',)","('p275_285',)","('It was good.',)",2.1277692317962646,"results/generated_speech/('p275',)_('p275_285',).wav"
27,"('p275',)","('p275_254',)","('One MP said he feared the job losses were only the beginning.',)",8.716655015945435,"results/generated_speech/('p275',)_('p275_254',).wav"
28,"('p275',)","('p275_427',)","('He deserved a red card.',)",3.4225375652313232,"results/generated_speech/('p275',)_('p275_427',).wav"
29,"('p275',)","('p275_197',)","('The modern approach will also be reflected in the terms of address.',)",9.757348537445068,"results/generated_speech/('p275',)_('p275_197',).wav"
30,"('p275',)","('p275_341',)","('I got a yellow card.',)",3.453099012374878,"results/generated_speech/('p275',)_('p275_341',).wav"
31,"('p275',)","('p275_364',)","(""It's now down in black and white."",)",4.6044933795928955,"results/generated_speech/('p275',)_('p275_364',).wav"
32,"('p275',)","('p275_330',)","(""It's been hard."",)",1.193824052810669,"results/generated_speech/('p275',)_('p275_330',).wav"
33,"('p275',)","('p275_036',)","('However, they continued in their pursuit of victory.',)",7.370083332061768,"results/generated_speech/('p275',)_('p275_036',).wav"
34,"('p275',)","('p275_205',)","('Some realism was needed about the time, resources and management.',)",10.541043519973755,"results/generated_speech/('p275',)_('p275_205',).wav"
35,"('p275',)","('p275_014',)","('To the Hebrews it was a token that there would be no more universal floods.',)",10.547272205352783,"results/generated_speech/('p275',)_('p275_014',).wav"
36,"('p275',)","('p275_222',)","('We could easily be cut again.',)",4.378764629364014,"results/generated_speech/('p275',)_('p275_222',).wav"
37,"('p275',)","('p275_395',)","('The prison has been affected by unrest in the past.',)",7.888012886047363,"results/generated_speech/('p275',)_('p275_395',).wav"
38,"('p275',)","('p275_035',)","('Other members of the family were too upset to comment last night.',)",8.62390685081482,"results/generated_speech/('p275',)_('p275_035',).wav"
39,"('p275',)","('p275_258',)","('Souter will be back.',)",2.3816611766815186,"results/generated_speech/('p275',)_('p275_258',).wav"
40,"('p275',)","('p275_374',)","('You can cope with it.',)",3.254410982131958,"results/generated_speech/('p275',)_('p275_374',).wav"
41,"('p275',)","('p275_423',)","(""It's been a long, long journey."",)",4.518510580062866,"results/generated_speech/('p275',)_('p275_423',).wav"
42,"('p275',)","('p275_131',)","('The BBC was a disgrace.',)",4.287300109863281,"results/generated_speech/('p275',)_('p275_131',).wav"
43,"('p275',)","('p275_188',)","('Four policemen were wounded.',)",4.281887054443359,"results/generated_speech/('p275',)_('p275_188',).wav"
44,"('p275',)","('p275_228',)","('I am very sorry that Alastair Campbell has taken this decision.',)",7.602980136871338,"results/generated_speech/('p275',)_('p275_228',).wav"
45,"('p275',)","('p275_324',)","('My view has now completely changed.',)",5.559013366699219,"results/generated_speech/('p275',)_('p275_324',).wav"
46,"('p275',)","('p275_139',)","('It was very frightened and dirty.',)",4.537856578826904,"results/generated_speech/('p275',)_('p275_139',).wav"
47,"('p275',)","('p275_168',)","('I was in the train station overnight.',)",3.323049306869507,"results/generated_speech/('p275',)_('p275_168',).wav"
48,"('p275',)","('p275_212',)","('It had all been arranged.',)",3.319080114364624,"results/generated_speech/('p275',)_('p275_212',).wav"
49,"('p275',)","('p275_284',)","('The condition of their adoption was that they should be kept together.',)",8.635735034942627,"results/generated_speech/('p275',)_('p275_284',).wav"
50,"('p275',)","('p275_347',)","('Rangers can expect a physical battle in the national stadium tonight.',)",11.159033060073853,"results/generated_speech/('p275',)_('p275_347',).wav"
51,"('p275',)","('p275_289',)","('We are not going to forget.',)",4.1460511684417725,"results/generated_speech/('p275',)_('p275_289',).wav"
52,"('p275',)","('p275_262',)","('This is a question of Islam.',)",4.875678539276123,"results/generated_speech/('p275',)_('p275_262',).wav"
53,"('p275',)","('p275_109',)","(""It's a shame."",)",1.8336799144744873,"results/generated_speech/('p275',)_('p275_109',).wav"
54,"('p275',)","('p275_413',)","('I am extremely cautious.',)",4.003950119018555,"results/generated_speech/('p275',)_('p275_413',).wav"
55,"('p275',)","('p275_306',)","('They included certain insurance policies, and his share of the house.',)",7.725754499435425,"results/generated_speech/('p275',)_('p275_306',).wav"
56,"('p275',)","('p275_316',)","('The election is total confusion and chaos.',)",7.806366205215454,"results/generated_speech/('p275',)_('p275_316',).wav"
57,"('p275',)","('p275_161',)","('It was by the numbers.',)",2.93708872795105,"results/generated_speech/('p275',)_('p275_161',).wav"
58,"('p275',)","('p275_334',)","(""That's not eviction because he is not a tenant."",)",7.106915235519409,"results/generated_speech/('p275',)_('p275_334',).wav"
59,"('p275',)","('p275_057',)","('The rate of growth in road traffic is already beginning to slow.',)",9.542611122131348,"results/generated_speech/('p275',)_('p275_057',).wav"
60,"('p275',)","('p275_012',)","('Throughout the centuries people have explained the rainbows in various ways.',)",10.61789321899414,"results/generated_speech/('p275',)_('p275_012',).wav"
61,"('p275',)","('p275_120',)","('That was the lesson to be learned from the European Championships.',)",8.986224174499512,"results/generated_speech/('p275',)_('p275_120',).wav"
62,"('p275',)","('p275_299',)","('There were no passengers on board.',)",4.8172767162323,"results/generated_speech/('p275',)_('p275_299',).wav"
63,"('p275',)","('p275_290',)","('I could never be cool.',)",1.9328923225402832,"results/generated_speech/('p275',)_('p275_290',).wav"
64,"('p275',)","('p275_176',)","('Is Saddam a threat?',)",3.486208200454712,"results/generated_speech/('p275',)_('p275_176',).wav"
65,"('p275',)","('p275_095',)","('May not have been at fault?',)",2.9359073638916016,"results/generated_speech/('p275',)_('p275_095',).wav"
66,"('p275',)","('p275_417',)","('It all began as an accident.',)",4.633226156234741,"results/generated_speech/('p275',)_('p275_417',).wav"
67,"('p275',)","('p275_130',)","('Twaddle is a case in point.',)",4.32754111289978,"results/generated_speech/('p275',)_('p275_130',).wav"
68,"('p275',)","('p275_325',)","('Last night, he pledged to clear his name.',)",5.302938222885132,"results/generated_speech/('p275',)_('p275_325',).wav"
69,"('p275',)","('p275_429',)","('However, he held out little hope that the Government would take action.',)",5.584010124206543,"results/generated_speech/('p275',)_('p275_429',).wav"
70,"('p275',)","('p275_164',)","('This year, this month, will be special for Torrance.',)",6.427258729934692,"results/generated_speech/('p275',)_('p275_164',).wav"
71,"('p275',)","('p275_079',)","('He had suffered a heart attack.',)",2.6115331649780273,"results/generated_speech/('p275',)_('p275_079',).wav"
72,"('p275',)","('p275_219',)","('He said the winner had been chosen by consensus.',)",7.5062737464904785,"results/generated_speech/('p275',)_('p275_219',).wav"
73,"('p275',)","('p275_094',)","('It is a love affair.',)",2.862973928451538,"results/generated_speech/('p275',)_('p275_094',).wav"
74,"('p275',)","('p275_288',)","('Bombing slaughter rejected',)",2.368513345718384,"results/generated_speech/('p275',)_('p275_288',).wav"
75,"('p275',)","('p275_056',)","('We need the chief medical officer to clarify the matter.',)",5.007615804672241,"results/generated_speech/('p275',)_('p275_056',).wav"
76,"('p275',)","('p275_309',)","('The minister is the engineer.',)",2.7301747798919678,"results/generated_speech/('p275',)_('p275_309',).wav"
77,"('p275',)","('p275_272',)","('His place in central defence was taken by John Anderson.',)",10.278217554092407,"results/generated_speech/('p275',)_('p275_272',).wav"
78,"('p275',)","('p275_424',)","('We are now up against it.',)",3.7243289947509766,"results/generated_speech/('p275',)_('p275_424',).wav"
